"type","total_occurence","total_fatality","average_fatality"
"Transall C-160D",5,59,11.8
"Transall C-160F",2,6,3
"Transall C-160NG",3,7,2.33
"Transall C-160R",2,0,0
"Tupolev Tu-104A",1,50,50
"Tupolev Tu-124K",1,5,5
"Tupolev Tu-124Sh",1,0,0
"Tupolev Tu-134",2,0,0
"Tupolev Tu-134AK",3,0,0
"Tupolev Tu-134Sh2",1,7,7
"Tupolev Tu-154B-2",2,92,46
"Tupolev Tu-154M",2,120,60
"U-1A Otter (DHC-3)",15,54,3.6
"U-1B Otter (DHC-3)",1,0,0
"UC-1 Otter (DHC-3)",6,2,0.33
"unknown",2,69,34.5
"VEB 14P",1,0,0
"Vickers 610 Viking 1B",3,7,2.33
"Vickers 615 Viking 1B",5,0,0
"Vickers 620 Viking 1",1,5,5
"Vickers 668 Varsity T.1",1,2,2
"Vickers 806 Viscount",1,0,0
"Vickers C-90 Viscount (742D)",1,0,0
"Vickers Valetta C.1",67,134,2
"Vickers Valetta C.2",2,1,0.5
"Vickers Valetta T.3",5,29,5.8
"Vickers Valetta T.4",1,0,0
"Vickers Varisty T.1",2,0,0
"Vickers Varsity T.1",26,33,1.27
"Vickers VC10 C.1K",1,0,0
"Vickers Viking C.2",1,0,0
"Xian Yunshuji Y-7",1,2,2
"Xian Yunshuji Y-7H",1,8,8
"Xian Yunshuji Y-7H-500",1,39,39
