"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"25-SEP-1928","Junkers G.31de","D-1427","Deutsche Lufthansa","0","Arnsberg",NA,NA,"A1",1,"1928",NA,NA,NA
"13-OCT-1928","Ford 4-AT-A Tri-Motor","NC880","Stout Air Services","0","Detroit, MI",NA,NA,"A1",1,"1928",NA,NA,NA
"23-NOV-1928","Ford 4-AT-B Tri-Motor","NC7687","Spokane Airways","3","Spokane, WA",NA,NA,"A1",1,"1928",NA,NA,NA
"01-DEC-1928","Junkers G.31fi","D-1473","Deutsche Lufthansa","3","Letzlingen",NA,NA,"A1",1,"1928",NA,NA,NA
"01-DEC-1928","Ford 4-AT-C Tri-Motor","NC7862","Sunbeam Air Transport Co.","5","Spur, TX",NA,NA,"A1",1,"1928",NA,NA,NA
"22-DEC-1928","Ford 4-AT-A Tri-Motor","NC3443","Texaco","0","Floresville, TX",NA,NA,"A1",1,"1928",NA,NA,NA
"??-DEC-1928","Junkers G.31ce","D-1137","Deutsche Lufthansa",NA,"",NA,NA,"A1",1,"1928",NA,NA,NA
"16-JAN-1929","Ford 4-AT-A Tri-Motor","NC1076","Stout Air Services","0","Toledo, OH",NA,NA,"A1",1,"1929",NA,NA,NA
"??-FEB-1929","Junkers G.24","D-899","Deutsche Lufthansa","","Epinais, Bre...",NA,NA,"A1",1,"1929",NA,NA,NA
"17-MAR-1929","Ford 4-AT-B Tri-Motor","NC7683","Colonial Western Airlines","14","Newark Airpo...",NA,NA,"A1",1,"1929",NA,NA,NA
"19-MAR-1929","Ford 5-AT-B Tri-Motor","NC9674","Ford Motor Company","4","Dearborn, MI",NA,NA,"A1",1,"1929",NA,NA,NA
"12-APR-1929","Dornier Do R4 Superwal","I-RIDE","SANA","0","Napoli",NA,NA,"O1",1,"1929",NA,NA,NA
"21-APR-1929","Ford 5-AT-B Tri-Motor","NC9636","Maddux Airlines","5+ 1","San Diego, CA",NA,NA,"A1",1,"1929",NA,NA,NA
"19-MAY-1929","Farman F.63bis Goliath","F-GEAI","Air Union","0","Paddock Wood...",NA,NA,"A1",1,"1929",NA,NA,NA
"17-JUN-1929","Handley Page W.10","G-EBMT","Imperial Airways","7","Dungeness",NA,NA,"A1",1,"1929",NA,NA,NA
"24-JUN-1929","Ford 5-AT-A Tri-Motor","NC7416","Northwest Airways","1","Saint Paul, MN",NA,NA,"A1",1,"1929",NA,NA,NA
"29-AUG-1929","Junkers G.24li","SE-AAF","AB Aerotransport","0","Emsland",NA,NA,"A1",1,"1929",NA,NA,NA
