"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"01-JAN-1943","Consolidated PBY-5 Catalina","04502","US Navy","3","South Pacific",NA,NA,"A1",1,"1943",NA,NA,NA
"02-JAN-1943","Consolidated PBY-5 Catalina","04482","US Navy",NA,"Aleutians, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"02-JAN-1943","Short Sunderland III","N9209","RAF","12","Port Said",NA,NA,"A1",1,"1943",NA,NA,NA
"03-JAN-1943","Consolidated PBY-5A Catalina","08097","US Navy","8","Atlantic Ocean",NA,NA,"A1",1,"1943",NA,NA,NA
"03-JAN-1943","Douglas C-34 (DC-2)","36-345","USAAF",NA,"Sebring-Hend...",NA,NA,"A1",1,"1943",NA,NA,NA
"04-JAN-1943","Lockheed Lodestar II","EW986","RAF","11","Heliopolis",NA,NA,"A1",1,"1943",NA,NA,NA
"05-JAN-1943","Consolidated PBY-2 Catalina","0497","US Navy",NA,"Jacksonville...",NA,NA,"A1",1,"1943",NA,NA,NA
"06-JAN-1943","Douglas C-47 (DC-3)","41-7787","USAAF",NA,"Chabua Airfield",NA,NA,"A1",1,"1943",NA,NA,NA
"06-JAN-1943","Consolidated 28-5MC Canso (PBY-5)","9737","RCAF","5","Gander Lake, NL",NA,NA,"A1",1,"1943",NA,NA,NA
"07-JAN-1943","Douglas C-47 (DC-3)","41-18432","USAAF",NA,"unknown",NA,NA,"A1",1,"1943",NA,NA,NA
"08-JAN-1943","Douglas DC-2-171","A30-13","RAAF","0","Cooktown Air...",NA,NA,"A1",1,"1943",NA,NA,NA
"09-JAN-1943","Shorts S.26 G Class","G-AFCK","BOAC","13","Tagus River,...",NA,NA,"A1",1,"1943",NA,NA,NA
"10-JAN-1943","Consolidated PBY-5 Catalina","2367","US Navy","8","Gibbs Hill L...",NA,NA,"A1",1,"1943",NA,NA,NA
"11-JAN-1943","Douglas DC-3A-197","NC16090","United Airlines, op.for USAAF","0","Oakland Muni...",NA,NA,"A1",1,"1943",NA,NA,NA
"11-JAN-1943","Douglas C-47 (DC-3)","41-18573","USAAF","5","between Tont...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-JAN-1943","Douglas C-49G-DO (DC-3)","LR235","RAF","0","Tezpur Airpo...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-JAN-1943","Douglas C-47 (DC-3)","41-18598","USAAF","0","Port Moresby...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-JAN-1943","Consolidated PBY-5 Catalina","04431","US Navy","0","Perth, WA",NA,NA,"A1",1,"1943",NA,NA,NA
"13-JAN-1943","Lockheed 14-H2 Super Electra","F-ARRF","Air France","3","Aguelhok",NA,NA,"A1",1,"1943",NA,NA,NA
"13-JAN-1943","Consolidated PBY-5A Catalina","7302","US Navy","0","Reykjavik Ai...",NA,NA,"A1",1,"1943",NA,NA,NA
"15-JAN-1943","Douglas C-54 (DC-4)","41-32939","USAAF, op.for TWA","35","Paramaribo",NA,NA,"A1",1,"1943",NA,NA,NA
"15-JAN-1943","Douglas C-47 (DC-3)","","USAAF",NA,"Biskra Airpo...",NA,NA,"C1",1,"1943",NA,NA,NA
"15-JAN-1943","Douglas C-47 (DC-3)","41-18658","USAAF","6","Port Moresby...",NA,NA,"C1",1,"1943",NA,NA,NA
"16-JAN-1943","Douglas C-49D (DC-3)","41-7718","USAAF",NA,"Palo Seca",NA,NA,"A1",1,"1943",NA,NA,NA
"16-JAN-1943","Consolidated PBY-5 Catalina","2310","US Navy","5","Brunswick, G...",NA,NA,"A1",1,"1943",NA,NA,NA
"16-JAN-1943","Short Sunderland I","L5802","RAF",NA,"Alness, nr. ...",NA,NA,"A1",1,"1943",NA,NA,NA
"17-JAN-1943","Consolidated PBY-5A Catalina","08043","US Navy","4","Elizabeth Ci...",NA,NA,"A1",1,"1943",NA,NA,NA
"18-JAN-1943","Consolidated C-87 Liberator Express","41-11708","USAAF","26","Natal, Brazil",NA,NA,"A1",1,"1943",NA,NA,NA
"18-JAN-1943","Douglas C-47 (DC-3)","41-38667","USAAF","8","Wau Airport ...",NA,NA,"A1",1,"1943",NA,NA,NA
"21-JAN-1943","Martin M-130","NC14715","Pan Am","19","Ukiah, CA",NA,NA,"A1",1,"1943",NA,NA,NA
"21-JAN-1943","Douglas C-49G-DO","42-56614","USAAF",NA,"Austin-del V...",NA,NA,"A1",1,"1943",NA,NA,NA
"21-JAN-1943","Douglas R4D-1 (DC-3)","05051","US Navy","6","Flagstaff, AZ",NA,NA,"A1",1,"1943",NA,NA,NA
"21-JAN-1943","Short Sunderland I","T9085","RAF","11","Western Appr...",NA,NA,"A1",1,"1943",NA,NA,NA
"22-JAN-1943","Douglas DC-3A-399","NC33645","Panagra","14","Chaparra",NA,NA,"A1",1,"1943",NA,NA,NA
"23-JAN-1943","Douglas C-47 (DC-3)","41-18591","USAAF",NA,"Laurinburg-M...",NA,NA,"A1",1,"1943",NA,NA,NA
"23-JAN-1943","Douglas C-53 Skytrooper (DC-3)","41-18440","USAAF","0","Laurinburg-M...",NA,NA,"O1",1,"1943",NA,NA,NA
"23-JAN-1943","Lisunov PS-84","CCCP-L3443","Aeroflot","5","Myakinino",NA,NA,"A1",1,"1943",NA,NA,NA
"24-JAN-1943","Short Sunderland III","DV979","RAF","9","Black Rock, ...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-JAN-1943","Douglas C-47 (DC-3)","41-38666","USAAF",NA,"Port Moresby...",NA,NA,"O1",1,"1943",NA,NA,NA
"24-JAN-1943","Douglas C-47 (DC-3)","41-38688","USAAF",NA,"unknown",NA,NA,"A1",1,"1943",NA,NA,NA
"26-JAN-1943","Douglas C-53 Skytrooper (DC-3)","41-20128","USAAF",NA,"Sookerating",NA,NA,"A1",1,"1943",NA,NA,NA
"27-JAN-1943","Consolidated PBY-5A Catalina","7278","US Navy","0","Greenland ic...",NA,NA,"A1",1,"1943",NA,NA,NA
"28-JAN-1943","Consolidated PBY-2 Catalina","0455","US Navy","3","Lake Ponchar...",NA,NA,"A1",1,"1943",NA,NA,NA
"28-JAN-1943","Consolidated PBY-5A Catalina","02965","US Navy",NA,"",NA,NA,"A1",1,"1943",NA,NA,NA
"29-JAN-1943","Fiat G.18V","I-EURE","ALI","5","Venice Airpo...",NA,NA,"A1",1,"1943",NA,NA,NA
"31-JAN-1943","Douglas C-53 Skytrooper (DC-3)","42-15537","USAAF","3","Castaic, CA",NA,NA,"A1",1,"1943",NA,NA,NA
"31-JAN-1943","Douglas Dakota II (DC-3)","MA929","RAF","6","northeastern...",NA,NA,"A1",1,"1943",NA,NA,NA
"07-FEB-1943","Douglas C-47 (DC-3)","41-38658","USAAF","5","Wau",NA,NA,"C1",1,"1943",NA,NA,NA
"07-FEB-1943","Consolidated C-87 Liberator Express","41-23903","USAAF","18","Canton Islan...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-FEB-1943","Consolidated PBY-5 Catalina","04438","US Navy","2","Whidbey Isla...",NA,NA,"A1",1,"1943",NA,NA,NA
"09-FEB-1943","Douglas C-48B (DC-3)","42-56099","USAAF",NA,"Austin-del V...",NA,NA,"A1",1,"1943",NA,NA,NA
"09-FEB-1943","Consolidated C-87 Liberator Express","41-23850","USAAF","0","within Mexico",NA,NA,"A1",1,"1943",NA,NA,NA
"10-FEB-1943","Douglas C-47 (DC-3)","41-18430","USAAF",NA,"Dalhart, TX",NA,NA,"A1",1,"1943",NA,NA,NA
"12-FEB-1943","Consolidated PBY-5A Catalina","08033","US Navy",NA,"Canton Islan...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-FEB-1943","Lockheed 14-H Super Electra","PP-AVA","Aerovias Brasil","1","Bom Jesus da...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-FEB-1943","Douglas DC-3-294A","46","CNAC",NA,"Chungking",NA,NA,"A1",1,"1943",NA,NA,NA
"14-FEB-1943","Consolidated PBY-5 Catalina","08158","US Navy","3","San Francisc...",NA,NA,"A1",1,"1943",NA,NA,NA
"15-FEB-1943","de Havilland DH.95 Flamingo","G-AFYE","BOAC","2","Asmara",NA,NA,"A1",1,"1943",NA,NA,NA
"16-FEB-1943","Douglas C-47 (DC-3)","41-38581","USAAF",NA,"Takoradi",NA,NA,"A1",1,"1943",NA,NA,NA
"17-FEB-1943","Lisunov Li-2","","Soviet AF","6","Pisarevka vi...",NA,NA,"A1",1,"1943",NA,NA,NA
"22-FEB-1943","Boeing 314A","NC18603","Pan Am","24","Lisboa",NA,NA,"A1",1,"1943",NA,NA,NA
"22-FEB-1943","Douglas C-47 (DC-3)","42-32799","USAAF","2","Enterprise, UT",NA,NA,"A1",1,"1943",NA,NA,NA
"23-FEB-1943","Douglas C-53 Skytrooper (DC-3)","42-47373","USAAF","5","Cairo",NA,NA,"A1",1,"1943",NA,NA,NA
"23-FEB-1943","Douglas C-49J","43-1989","USAAF",NA,"Colorado Spr...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-FEB-1943","Curtiss C-46","41-5176","USAAF","0","Buffalo, NY",NA,NA,"A1",1,"1943",NA,NA,NA
"24-FEB-1943","Junkers Ju-52/3mge","7U+LM","German AF","0","Gaeidnugaiss...",NA,NA,"A1",1,"1943",NA,NA,NA
"25-FEB-1943","Consolidated PBY-5 Catalina","08163","US Navy","5","San Diego-No...",NA,NA,"A1",1,"1943",NA,NA,NA
"26-FEB-1943","Lockheed 18 Lodestar","VHCAJ","Australian CAA, op.for ANA",NA,"Townsville, QLD",NA,NA,"A1",1,"1943",NA,NA,NA
"28-FEB-1943","Douglas C-49F-DO","42-56628","USAAF","5","Austin-del V...",NA,NA,"A1",1,"1943",NA,NA,NA
"28-FEB-1943","Consolidated PBY-5A Catalina","A24-25","RAAF","11","Cairns, QLD",NA,NA,"A1",1,"1943",NA,NA,NA
"02-MAR-1943","Douglas C-47 (DC-3)","41-19467","USAAF",NA,"unknown",NA,NA,"U1",1,"1943",NA,NA,NA
"02-MAR-1943","Lisunov Li-2","CCCP-L3495","Aeroflot","2","Mount Ketan-Dag",NA,NA,"A1",1,"1943",NA,NA,NA
"02-MAR-1943","Lisunov Li-2","","Soviet AF","9","Sol-Iletsk",NA,NA,"A1",1,"1943",NA,NA,NA
"04-MAR-1943","Douglas C-47 (DC-3)","41-18561","USAAF",NA,"Fayetteville...",NA,NA,"A1",1,"1943",NA,NA,NA
"05-MAR-1943","Consolidated PBY-5 Catalina","2334","US Navy","8","Pacific",NA,NA,"A1",1,"1943",NA,NA,NA
"05-MAR-1943","Lisunov PS-84","CCCP-L3913","Aeroflot","3","Berdigestyak...",NA,NA,"A1",1,"1943",NA,NA,NA
"06-MAR-1943","Consolidated PBY-5 Catalina","04475","US Navy","4","Whidbey Isla...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAR-1943","Douglas C-47 (DC-3)","41-18521","USAAF",NA,"Fayetteville...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAR-1943","Douglas C-47 (DC-3)","41-19493","USAAF",NA,"Fort Hertz",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAR-1943","Consolidated PBY-5A Catalina","A24-22","RAAF","9","Gasmata",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAR-1943","Lisunov Li-2","","Soviet AF","5","Bataisk Airf...",NA,NA,"A1",1,"1943",NA,NA,NA
"09-MAR-1943","Consolidated PBY-5A Catalina","08054","US Navy",NA,"Narsarsuaq",NA,NA,"A1",1,"1943",NA,NA,NA
"10-MAR-1943","Consolidated PBY-5A Catalina","7297","US Navy","8","Lake Becharo...",NA,NA,"A1",1,"1943",NA,NA,NA
"11-MAR-1943","Douglas C-53-DO (DC-3)","53","CNAC","3","Luishui",NA,NA,"A1",1,"1943",NA,NA,NA
"11-MAR-1943","Douglas C-47 (DC-3)","42-32871","USAAF",NA,"Mechanicsbur...",NA,NA,"A1",1,"1943",NA,NA,NA
"11-MAR-1943","Consolidated PBY-5 Catalina","04497","US Navy",NA,"Whidbey Isla...",NA,NA,"A1",1,"1943",NA,NA,NA
"11-MAR-1943","Douglas C-47 (DC-3)","41-38662","USAAF","8","Skindewai",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAR-1943","Douglas C-47 (DC-3)","41-7736","USAAF",NA,"Fort Hertz",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAR-1943","Lockheed C-60A Lodestar","42-32216","USAAF","3","Lubbock-Sout...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAR-1943","Consolidated C-87 Liberator Express","41-23694","USAAF","0","Kunming-Wuji...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAR-1943","Douglas C-47 (DC-3)","41-18642","USAAF",NA,"Dobodura Air...",NA,NA,"U1",1,"1943",NA,NA,NA
"13-MAR-1943","Douglas C-53 (DC-3)","49","CNAC","3","Patkai Range",NA,NA,"A1",1,"1943",NA,NA,NA
"13-MAR-1943","Douglas C-47 (DC-3)","41-7738","USAAF",NA,"El Fasher Ai...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-MAR-1943","Douglas C-47 (DC-3)","41-18340","USAAF",NA,"Montesquieu",NA,NA,"A1",1,"1943",NA,NA,NA
"16-MAR-1943","Consolidated PBY-5 Catalina","08181","US Navy",NA,"Jacksonville...",NA,NA,"A1",1,"1943",NA,NA,NA
"17-MAR-1943","de Havilland DH.86 Express","HK829","RAF",NA,"Noffution North",NA,NA,"A1",1,"1943",NA,NA,NA
"19-MAR-1943","Douglas DC-3-232A","VH-ACB","ANA","0","Melbourne-Es...",NA,NA,"A1",1,"1943",NA,NA,NA
"21-MAR-1943","Short Sunderland I","T9111","RAF, op.for RAAF",NA,"Poole Seapla...",NA,NA,"A1",1,"1943",NA,NA,NA
"23-MAR-1943","Douglas C-48B (DC-3)","42-56610","USAAF",NA,"Austin-del V...",NA,NA,"A1",1,"1943",NA,NA,NA
"23-MAR-1943","Consolidated PBY-5 Catalina","08409","US Navy",NA,"Attu Island-...",NA,NA,"A1",1,"1943",NA,NA,NA
"23-MAR-1943","Consolidated PBY-5A Catalina","G-AGDA","BOAC","3","Poole Harbou...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-MAR-1943","Curtiss R5C-1 (C-46A)","39492","US Navy","4","Washington-B...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-MAR-1943","Consolidated PBY-5 Catalina","08136","US Navy","0","Gavutu Island",NA,NA,"A1",1,"1943",NA,NA,NA
"25-MAR-1943","Douglas Dakota II (DC-3)","MA928","RAF","0","Agartala Air...",NA,NA,"A1",1,"1943",NA,NA,NA
"26-MAR-1943","Consolidated PBY-5A Catalina","Y-81","Dutch Navy",NA,"Somaliland",NA,NA,"A1",1,"1943",NA,NA,NA
"27-MAR-1943","Douglas C-47 (DC-3)","A65-2","RAAF","23","Brisbane-Arc...",NA,NA,"A1",1,"1943",NA,NA,NA
"27-MAR-1943","Douglas C-47 (DC-3)","42-5695","USAAF",NA,"Oliver Sprin...",NA,NA,"A1",1,"1943",NA,NA,NA
"27-MAR-1943","Lisunov PS-84","CCCP-L3440","Aeroflot","2","Moskva-Khody...",NA,NA,"A1",1,"1943",NA,NA,NA
"28-MAR-1943","Consolidated PBY-5 Catalina","04461","US Navy","7","",NA,NA,"A1",1,"1943",NA,NA,NA
"29-MAR-1943","Consolidated PBY-5 Catalina","2354","US Navy","10","Johnston Isl...",NA,NA,"A1",1,"1943",NA,NA,NA
"30-MAR-1943","Consolidated PBY-5 Catalina","08251","US Navy","8","Albemarle So...",NA,NA,"A1",1,"1943",NA,NA,NA
"31-MAR-1943","de Havilland DH.86 Express","AX844","Royal Navy","7","Donibristle",NA,NA,"A1",1,"1943",NA,NA,NA
"01-APR-1943","Douglas C-47A (DC-3)","42-23365","USAAF",NA,"Victorville ...",NA,NA,"A1",1,"1943",NA,NA,NA
"01-APR-1943","Lockheed C-60A Lodestar","42-55964","USAAF",NA,"Stuttgart AA...",NA,NA,"A1",1,"1943",NA,NA,NA
"01-APR-1943","Lockheed R5O-5 (Lodestar)","12462","US Navy","7","Flemington, NJ",NA,NA,"A1",1,"1943",NA,NA,NA
"02-APR-1943","Consolidated PBY-5 Catalina","2385","US Navy",NA,"NAS Trinidad",NA,NA,"A1",1,"1943",NA,NA,NA
"03-APR-1943","Consolidated PBY-5A Catalina","05038","US Navy",NA,"Copalis Beac...",NA,NA,"A1",1,"1943",NA,NA,NA
"04-APR-1943","Lockheed 18 Lodestar","G-AGEJ","BOAC","7","Skagen, Denm...",NA,NA,"C1",1,"1943",NA,NA,NA
"06-APR-1943","Douglas C-47 (DC-3)","41-18337","USAAF",NA,"Whitchurch",NA,NA,"A1",1,"1943",NA,NA,NA
"07-APR-1943","Douglas C-53-DO (DC-3)","58","CNAC","1","Minzong",NA,NA,"A1",1,"1943",NA,NA,NA
"07-APR-1943","Consolidated Catalina","FP138","RAF","3","Vougo, Normandy",NA,NA,"C1",1,"1943",NA,NA,NA
"08-APR-1943","Consolidated PBY-5A Catalina","A24-41","RAAF","10","Gulf of Carp...",NA,NA,"A1",1,"1943",NA,NA,NA
"09-APR-1943","Consolidated C-87 Liberator Express","41-23791","USAAF","6","Tezu",NA,NA,"A1",1,"1943",NA,NA,NA
"10-APR-1943","Savoia-Marchetti SM-75 bis","I-BONI","LATI","3","",NA,NA,"C1",1,"1943",NA,NA,NA
"10-APR-1943","Consolidated PBY-5 Catalina","A24-16","RAAF","0","Rathmines, NSW",NA,NA,"A1",1,"1943",NA,NA,NA
"12-APR-1943","Douglas C-53-DO (DC-3)","41-20056","USAAF",NA,"Hkashang Ga",NA,NA,"A1",1,"1943",NA,NA,NA
"13-APR-1943","Lockheed 18 Lodestar","247","South African AF",NA,"Khartoum-Wad...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-APR-1943","Consolidated PBY-5A Catalina","A24-36","RAAF","6","Cairns Harbo...",NA,NA,"A1",1,"1943",NA,NA,NA
"13-APR-1943","Savoia-Marchetti SM-75","I-MAST","LATI",NA,"Mediterranea...",NA,NA,"C1",1,"1943",NA,NA,NA
"16-APR-1943","Douglas C-47 (DC-3)","41-18383","USAAF",NA,"Sedalia Army...",NA,NA,"A1",1,"1943",NA,NA,NA
"16-APR-1943","Douglas C-47 (DC-3)","41-18608","USAAF",NA,"Burtonwood",NA,NA,"A1",1,"1943",NA,NA,NA
"16-APR-1943","Douglas C-47A (DC-3)","42-23367","USAAF",NA,"Sedalia Army...",NA,NA,"A1",1,"1943",NA,NA,NA
"17-APR-1943","Douglas C-47 (DC-3)","41-19471","USAAF","0","Kunming-Wuji...",NA,NA,"A1",1,"1943",NA,NA,NA
"19-APR-1943","Douglas C-47 (DC-3)","41-18545","USAAF",NA,"between Kunm...",NA,NA,"A1",1,"1943",NA,NA,NA
"19-APR-1943","Savoia-Marchetti SM-75 bis","I-MONC","LATI",NA,"Mediterranea...",NA,NA,"C1",1,"1943",NA,NA,NA
"21-APR-1943","Lockheed C-60A-1-LO Lodestar","42-55864","USAAF","10","Evansville-D...",NA,NA,"A1",1,"1943",NA,NA,NA
"22-APR-1943","Short S.23 Empire Flying Boat Mk I","VH-ADU","Qantas","2","Port Moresby",NA,NA,"A1",1,"1943",NA,NA,NA
"23-APR-1943","Douglas C-47 (DC-3)","41-38574","USAAF",NA,"Chabua Airfield",NA,NA,"A1",1,"1943",NA,NA,NA
"23-APR-1943","Douglas C-47 (DC-3)","41-38578","USAAF",NA,"Chabua Airfield",NA,NA,"A1",1,"1943",NA,NA,NA
"23-APR-1943","Douglas DC-3","","Mexicana","0","Havana-Ranch...",NA,NA,"A2",1,"1943",NA,NA,NA
"24-APR-1943","Consolidated C-87 Liberator Express","41-23696","USAAF","5","Latti, Aruna...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-APR-1943","Douglas C-49-DO (DC-3)","41-7694","USAAF",NA,"between Tows...",NA,NA,"A1",1,"1943",NA,NA,NA
"26-APR-1943","Lockheed C-60A-1-LO Lodestar","42-55852","USAAF",NA,"Kansas City, MO",NA,NA,"A1",1,"1943",NA,NA,NA
"26-APR-1943","Consolidated PBY-5A Catalina","A24-43","RAAF","3","Aita",NA,NA,"C1",1,"1943",NA,NA,NA
"27-APR-1943","Douglas R4D-1 (DC-3)","05055","US Navy","1","Tontouta Bay",NA,NA,"A1",1,"1943",NA,NA,NA
"27-APR-1943","Douglas R4D-1 (DC-3)","37666","US Navy",NA,"Guadalcanal",NA,NA,"A1",1,"1943",NA,NA,NA
"27-APR-1943","Douglas R4D-1 (DC-3)","4693","US Navy","8","Oakland, CA",NA,NA,"A1",1,"1943",NA,NA,NA
"29-APR-1943","Lisunov Li-2","","Soviet AF","6","Dmitrovskoye...",NA,NA,"A1",1,"1943",NA,NA,NA
"30-APR-1943","Consolidated PBY-5 Catalina","08229","US Navy",NA,"",NA,NA,"A1",1,"1943",NA,NA,NA
"01-MAY-1943","Douglas C-49D (DC-3)","41-7717","USAAF",NA,"Waller Field",NA,NA,"A1",1,"1943",NA,NA,NA
"01-MAY-1943","Consolidated PBY-5 Catalina","04470","US Navy","1","Mukilteo, WA",NA,NA,"A1",1,"1943",NA,NA,NA
"03-MAY-1943","Douglas C-47 (DC-3)","41-38760","USAAF",NA,"Jorhat",NA,NA,"A1",1,"1943",NA,NA,NA
"03-MAY-1943","Douglas C-53 Skytrooper (DC-3)","42-15534","USAAF",NA,"Mobile-Brook...",NA,NA,"A1",1,"1943",NA,NA,NA
"05-MAY-1943","Consolidated PBY-3 Catalina","0891","US Navy","3","NAS Corpus C...",NA,NA,"A1",1,"1943",NA,NA,NA
"05-MAY-1943","PBV-1A Canso A (PBY-5A)","9807","RCAF","6","Gander-RCAF ...",NA,NA,"A1",1,"1943",NA,NA,NA
"05-MAY-1943","Douglas C-47 (DC-3)","41-38641","USAAF",NA,"Amchitka, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"07-MAY-1943","Curtiss C-46","41-5180","USAAF",NA,"Great Inagua...",NA,NA,"A1",1,"1943",NA,NA,NA
"07-MAY-1943","Consolidated PBY-5 Catalina","08290","US Navy",NA,"Jacksonville...",NA,NA,"A1",1,"1943",NA,NA,NA
"07-MAY-1943","Savoia-Marchetti SM-75 bis","I-BELO","LATI","0","Tunis-Cartha...",NA,NA,"C1",1,"1943",NA,NA,NA
"07-MAY-1943","Consolidated C-87 Liberator Express","41-23669","USAAF","4","between Yang...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAY-1943","Douglas C-47A (DC-3)","42-92024","USAAF",NA,"Oklahoma Cit...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAY-1943","Douglas C-33 (DC-2)","36-85","USAAF","0","Ogden-Hill A...",NA,NA,"A1",1,"1943",NA,NA,NA
"08-MAY-1943","Consolidated PBY-5 Catalina","2323","US Navy",NA,"St. Johns Ri...",NA,NA,"A1",1,"1943",NA,NA,NA
"10-MAY-1943","Consolidated PBY-5 Catalina","08326","US Navy",NA,"",NA,NA,"A1",1,"1943",NA,NA,NA
"10-MAY-1943","Consolidated PBY-5 Catalina","08226","US Navy",NA,"",NA,NA,"A1",1,"1943",NA,NA,NA
"11-MAY-1943","Lisunov PS-84","CCCP-L3931","Aeroflot","1","Molotov Airp...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAY-1943","Consolidated PBY-5 Catalina","04445","US Navy","1","Makapuu Poin...",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAY-1943","Douglas C-47 (DC-3)","41-18651","USAAF",NA,"Dobodura",NA,NA,"A1",1,"1943",NA,NA,NA
"12-MAY-1943","Douglas C-47 (DC-3)","41-18661","USAAF","5","Myola Lake, ...",NA,NA,"A1",1,"1943",NA,NA,NA
"15-MAY-1943","Douglas C-47 (DC-3)","41-18562","USAAF","18","Morganton, NC",NA,NA,"A1",1,"1943",NA,NA,NA
"15-MAY-1943","Consolidated PBY-5A Catalina","04403","US Navy","12","Guadalcanal",NA,NA,"A1",1,"1943",NA,NA,NA
"15-MAY-1943","Douglas C-47 (DC-3)","41-18361","USAAF",NA,"Algiers-Mais...",NA,NA,"O1",1,"1943",NA,NA,NA
"15-MAY-1943","Douglas C-47 (DC-3)","42-32861","USAAF",NA,"unknown",NA,NA,"A1",1,"1943",NA,NA,NA
"17-MAY-1943","Douglas C-53-DO (DC-3)","42-6497","USAAF",NA,"unknown",NA,NA,"A1",1,"1943",NA,NA,NA
"17-MAY-1943","Curtiss C-46A","41-12300","USAAF",NA,"",NA,NA,"O1",1,"1943",NA,NA,NA
"18-MAY-1943","Consolidated PBY-5A Catalina","7271","US Navy","10","Adak, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"18-MAY-1943","Consolidated PBY-5A Catalina","7289","US Navy",NA,"Sitka NAS, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"18-MAY-1943","Douglas C-53-DO (DC-3)","42-6482","USAAF",NA,"Bone",NA,NA,"A1",1,"1943",NA,NA,NA
"20-MAY-1943","Curtiss C-46A","41-12317","USAAF",NA,"",NA,NA,"U1",1,"1943",NA,NA,NA
"20-MAY-1943","Douglas C-47A (DC-3)","42-23409","USAAF",NA,"Paramaribo-Z...",NA,NA,"A1",1,"1943",NA,NA,NA
"20-MAY-1943","Douglas C-49H (DC-3)","39-2168","Pennsylvania-Central Airlines, op.for USAAF",NA,"Macon, GA",NA,NA,"A1",1,"1943",NA,NA,NA
"20-MAY-1943","Lisunov PS-84","CCCP-L3909","Aeroflot","6","Sochi",NA,NA,"A1",1,"1943",NA,NA,NA
"21-MAY-1943","Douglas C-47 (DC-3)","41-38645","USAAF",NA,"Atka, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"24-MAY-1943","Consolidated Catalina","FB110","RAF",NA,"Innismackill...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-MAY-1943","Consolidated PBY-5A Catalina","A24-39","RAAF",NA,"Port Stephen...",NA,NA,"A1",1,"1943",NA,NA,NA
"24-MAY-1943","Consolidated PBY-5A Catalina","04411","US Navy","8","Luluk Bay, AK",NA,NA,"A1",1,"1943",NA,NA,NA
"25-MAY-1943","Short Sunderland III","DD846","RAF","11","Clare Island...",NA,NA,"A1",1,"1943",NA,NA,NA
"26-MAY-1943","Douglas C-53 Skytrooper (DC-3)","41-20076","USAAF",NA,"Karachi",NA,NA,"A1",1,"1943",NA,NA,NA
"26-MAY-1943","Douglas C-47 (DC-3)","41-38710","USAAF",NA,"Algiers-Mais...",NA,NA,"A1",1,"1943",NA,NA,NA
"27-MAY-1943","Douglas C-53 Skytrooper (DC-3)","42-47374","USAAF",NA,"Hal Assini",NA,NA,"A1",1,"1943",NA,NA,NA
"27-MAY-1943","Douglas DC-3-196","URSS-B","Aeroflot / Moscow","1","Saratov-Zavo...",NA,NA,"A1",1,"1943",NA,NA,NA
"28-MAY-1943","Curtiss C-46A","41-12355","USAAF","2","Denver, CO",NA,NA,"A1",1,"1943",NA,NA,NA
"29-MAY-1943","Douglas C-47 (DC-3)","","Soviet AF",NA,"Uelkal, Chuk...",NA,NA,"A1",1,"1943",NA,NA,NA
"29-MAY-1943","Lockheed 14-H2 Super Electra","YV-ADO","LAV",NA,"Caracas-Maiq...",NA,NA,"A1",1,"1943",NA,NA,NA
"30-MAY-1943","Curtiss C-46A","41-12323","USAAF",NA,"Kunming Airp...",NA,NA,"A1",1,"1943",NA,NA,NA
"30-MAY-1943","Consolidated PBY-5 Catalina","08175","US Navy",NA,"Wickford Har...",NA,NA,"A1",1,"1943",NA,NA,NA
"01-JUN-1943","Douglas DC-3-194","G-AGBB","BOAC","17","La Coruña, S...",NA,NA,"C1",1,"1943",NA,NA,NA
"01-JUN-1943","Douglas C-47 (DC-3)","41-18450","USAAF",NA,"Thiersville ...",NA,NA,"A1",1,"1943",NA,NA,NA
