"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"1","23-FEB-1920","Handley Page O/7","G-EANV","Handley Page Transport","0","Acadia Sidin...",NA,NA,"A1",1
"2","25-FEB-1920","Handley Page O/400","G-EAMC","Handley Page Transport","0","El Shereik",NA,NA,"A1",1
"3","30-JUN-1920","Handley Page O/400","G-EAKE","Handley Page Transport","0","Östanå",NA,NA,"A1",1
"4","14-DEC-1920","Handley Page O/400","G-EAMA","Handley Page Transport","4","Golders Green",NA,NA,"A1",1
"5","15-JAN-1921","Aeromarine 75","","Aeromarine Airways","0","Havana harbour",NA,NA,"O1",1
"6","02-MAR-1921","Handley Page O/7","G-IAAC","HP Indo-Burmese Transport","0","Meerut",NA,NA,"O1",1
"7","04-MAR-1921","Caproni Ca.60 Noviplano","","Caproni","0","Lago Maggiore",NA,NA,"A1",1
"8","26-AUG-1921","Farman F.60 Goliath","O-BLAN","SNETA","0","Calais [The ...",NA,NA,"A2",1
"9","27-SEP-1921","Farman F.60 Goliath","O-BRUN","SNETA","0","Evere Airfield",NA,NA,"O1",1
"10","27-SEP-1921","Farman F.60 Goliath","O-BLEU","SNETA","0","Evere Airfield",NA,NA,"O1",1
"11","30-DEC-1921","Handley Page O/10","G-EATM","Handley Page Transport",NA,"Berck-sur-Mer",NA,NA,"U1",1
"12","14-JAN-1922","Handley Page O/10","G-EATN","Handley Page Transport","5","Paris-Le Bou...",NA,NA,"A1",1
"13","07-APR-1922","Farman F.60 Goliath","F-GEAD","Grands Express Aériens","5","Thieuloy-Sai...",NA,NA,"A1",1
"14","13-JAN-1923","Aeromarine 75","","Aeromarine Airways","4","Havana, Cuba",NA,NA,"A1",1
"15","14-MAY-1923","Farman F.60 Goliath","F-AEBY","Air Union","6","Monsures, Somme",NA,NA,"A1",1
"16","25-JUN-1923","Farman F.60 Goliath","F-AEDL","Air Union",NA,"Étaples",NA,NA,"A1",1
"17","10-JUL-1923","Handley Page W.8","G-EAPJ","Handley Page Transport","0","Poix",NA,NA,"A1",1
"18","15-JUL-1923","Farman F.60 Goliath","F-AEEE","Compagnie Aérienne Française",NA,"Valenciennes",NA,NA,"A1",1
"19","27-AUG-1923","Farman F.60 Goliath","F-AECB","Air Union","1","East Malling...",NA,NA,"A1",1
"20","03-DEC-1923","Farman F.60 Goliath","F-AEIF","Air Union",NA,"Littlestone,...",NA,NA,"A1",1
"21","??-???-1923","Aeromarine 75","","Aeromarine Airways","0","Havana harbour",NA,NA,"O1",1
"22","22-JAN-1924","Farman F.60 Goliath","F-GEAO","Air Union",NA,"London-Croyd...",NA,NA,"A1",1
"23","06-AUG-1924","Farman F.60 Goliath","F-ADDT","Air Union","0","Golden Green...",NA,NA,"A2",1
"24","24-AUG-1924","Farman F.61 Goliath","F-ADFP","SGTA","0","Amsterdam-Sc...",NA,NA,"A1",1
"25","16-OCT-1925","Farman F.60 Goliath","F-HMFU","Air Union","3","Wadhurst, Ea...",NA,NA,"A1",1
"26","14-NOV-1925","Farman F.60 Goliath","F-FHMY","Air Union","0","Boulogne [En...",NA,NA,"A2",1
"27","18-AUG-1926","Blériot 155","F-AIEB","Air Union","4","Hurst, ...",NA,NA,"A1",1
"28","02-OCT-1926","Blériot 155","F-AICQ","Air Union","7","Leigh, Kent",NA,NA,"A1",1
"29","21-OCT-1926","Handley Page W.10","G-EBMS","Imperial Airways","0","English Channel",NA,NA,"A1",1
"30","20-NOV-1926","Junkers G.24","D-944","Deutsche Lufthansa",NA,"Königsberg",NA,NA,"A1",1
"31","05-MAY-1927","Farman F.61 Goliath","F-ADFN","SGTA","2","Atlantic Ocean",NA,NA,"A1",1
"32","22-AUG-1927","Fokker F.VIII","H-NADU","KLM","1","St. Julians,...",NA,NA,"A1",1
"33","15-FEB-1928","Handley Page W.8b","G-EBBG","Imperial Airways","0","Abbeville",NA,NA,"A1",1
"34","11-MAR-1928","Farman F.60 Goliath","F-AEFC","Air Union","2","Folkestone, ...",NA,NA,"A1",1
"35","11-APR-1928","Fokker F.VIII","H-NAEE","KLM","0","Nigtevecht",NA,NA,"A1",1
"36","19-APR-1928","Junkers G.24","D-946","Deutsche Lufthansa","0","Spaichingen",NA,NA,"A1",1
"37","12-MAY-1928","Ford 4-AT-A Tri-Motor","NC1492","Ford Air Freight Lines","2","Dearborn, MI",NA,NA,"A1",1
"38","23-MAY-1928","Farman F.63bis Goliath","F-AEIE","SGTA","3","Köln-Butzwei...",NA,NA,"A1",1
"39","25-AUG-1928","Ford 4-AT-B Tri-Motor","G-CATX","British Columbia Airways","7","Port Townsen...",NA,NA,"A1",1
"40","25-SEP-1928","Junkers G.31de","D-1427","Deutsche Lufthansa","0","Arnsberg",NA,NA,"A1",1
"41","13-OCT-1928","Ford 4-AT-A Tri-Motor","NC880","Stout Air Services","0","Detroit, MI",NA,NA,"A1",1
"42","23-NOV-1928","Ford 4-AT-B Tri-Motor","NC7687","Spokane Airways","3","Spokane, WA",NA,NA,"A1",1
"43","01-DEC-1928","Junkers G.31fi","D-1473","Deutsche Lufthansa","3","Letzlingen",NA,NA,"A1",1
"44","01-DEC-1928","Ford 4-AT-C Tri-Motor","NC7862","Sunbeam Air Transport Co.","5","Spur, TX",NA,NA,"A1",1
"45","22-DEC-1928","Ford 4-AT-A Tri-Motor","NC3443","Texaco","0","Floresville, TX",NA,NA,"A1",1
"46","??-DEC-1928","Junkers G.31ce","D-1137","Deutsche Lufthansa",NA,"",NA,NA,"A1",1
"47","16-JAN-1929","Ford 4-AT-A Tri-Motor","NC1076","Stout Air Services","0","Toledo, OH",NA,NA,"A1",1
"48","??-FEB-1929","Junkers G.24","D-899","Deutsche Lufthansa","","Epinais, Bre...",NA,NA,"A1",1
"49","17-MAR-1929","Ford 4-AT-B Tri-Motor","NC7683","Colonial Western Airlines","14","Newark Airpo...",NA,NA,"A1",1
"50","19-MAR-1929","Ford 5-AT-B Tri-Motor","NC9674","Ford Motor Company","4","Dearborn, MI",NA,NA,"A1",1
"51","12-APR-1929","Dornier Do R4 Superwal","I-RIDE","SANA","0","Napoli",NA,NA,"O1",1
"52","21-APR-1929","Ford 5-AT-B Tri-Motor","NC9636","Maddux Airlines","5+ 1","San Diego, CA",NA,NA,"A1",1
"53","19-MAY-1929","Farman F.63bis Goliath","F-GEAI","Air Union","0","Paddock Wood...",NA,NA,"A1",1
"54","17-JUN-1929","Handley Page W.10","G-EBMT","Imperial Airways","7","Dungeness",NA,NA,"A1",1
"55","24-JUN-1929","Ford 5-AT-A Tri-Motor","NC7416","Northwest Airways","1","Saint Paul, MN",NA,NA,"A1",1
"56","29-AUG-1929","Junkers G.24li","SE-AAF","AB Aerotransport","0","Emsland",NA,NA,"A1",1
"57","03-SEP-1929","Ford 5-AT-B Tri-Motor","NC9649","Transcontinental Air Transport - TAT","8","Gallup, NM",NA,NA,"A1",1
"58","06-SEP-1929","de Havilland DH.66 Hercules","G-EBMZ","Imperial Airways","3","Jask Airport",NA,NA,"A1",1
"59","10-SEP-1929","Rohrbach Ro X Romar I","D-1734","Deutsche Lufthansa","0","Grömitz",NA,NA,"A1",1
"60","19-OCT-1929","Sabca (Handley Page) W.8B","OO-AHK","Sabena","0","Edegem",NA,NA,"A1",1
"61","26-OCT-1929","Short S.8/1 Calcutta","G-AADN","Imperial Airways","7","La Spezia",NA,NA,"A1",1
"62","??-OCT-1929","Farman F.63bis Goliath","F-FARI","SGTA","","",NA,NA,"U1",1
"63","06-NOV-1929","Junkers G.24bi","D-903","Deutsche Lufthansa","7","Godstone, Su...",NA,NA,"A1",1
"64","18-NOV-1929","Rohrbach Ro X Romar I","D-1693","Deutsche Lufthansa","0","",NA,NA,"A1",1
"65","27-NOV-1929","Fokker F.32","NX124M","Fokker Aircraft Corp. of America","0","Hempstead-Ro...",NA,NA,"A1",1
"66","04-DEC-1929","Curtiss B-2 Condor (Condor 18)","29-28","USAAC","1","Goodwater, AL",NA,NA,"A1",1
"67","12-DEC-1929","Farman F.180T","F-AIVR","SGTA","0","Toussus-le-N...",NA,NA,"O1",1
"68","19-JAN-1930","Ford 5-AT-C Tri-Motor","NC9689","Maddux Airlines","16","Oceanside, CA",NA,NA,"A1",1
"69","07-FEB-1930","Junkers R-42 (G.24)","J6","Chilean AF","3","Punta Arenas",NA,NA,"A1",1
"70","08-FEB-1930","Ford 4-AT-A Tri-Motor","NC2492","Private","0","San Marcos, TX",NA,NA,"A1",1
"71","10-FEB-1930","Farman F.63bis Goliath","F-FHMY","Air Union","2","Marden, Kent",NA,NA,"A1",1
"72","14-FEB-1930","de Havilland DH.66 Hercules","G-EBNA","Imperial Airways","0","Gaza",NA,NA,"A1",1
"73","02-MAR-1930","Ford 4-AT-A Tri-Motor","R-131","NYRBA","0","Cordoba",NA,NA,"A1",1
"74","08-APR-1930","Ford 5-AT-C Tri-Motor","R-148","Tri-Motor Safety Airways",NA,"Buenos Aires",NA,NA,"A1",1
"75","31-MAY-1930","Handley Page W.9a Hampstead","VH-ULK","Ellyou Goldfields Development",NA,"Mount Misim",NA,NA,"A1",1
"76","05-JUN-1930","Ford 5-AT-B Tri-Motor","NC9675","Colonial Air Transport","1","Boston, MA",NA,NA,"A1",1
"77","25-JUN-1930","Ford 5-AT-A Tri-Motor","NC7739","Northwest Airways","0","Chicago Muni...",NA,NA,"O1",1
"78","09-JUL-1930","Farman F.63bis Goliath","F-ADFQ","SGTA","1","Aalsmeer",NA,NA,"A1",1
"79","12-JUL-1930","Curtiss Condor 18","NC.....","Curtiss",NA,"Valley Strea...",NA,NA,"A1",1
"80","04-AUG-1930","Ford JR-3 (5-AT-C) Tri-Motor","A8598","USMC","0","Ocotal, Nuev...",NA,NA,"A1",1
"81","22-AUG-1930","Ford 5-AT-C Tri-Motor","OK-FOR","CSA","12","Jihlava (Iglau)",NA,NA,"A1",1
"82","30-OCT-1930","Handley Page W.8g","G-EBIX","Imperial Airways","3","Boulogne, Paris",NA,NA,"A1",1
"83","07-NOV-1930","Junkers G.24","P-BAHA","Syndicato Condor","1","Iguape, SP",NA,NA,"A1",1
"84","21-NOV-1930","Ford 4-AT-B Tri-Motor","NC7118","Curtiss-Wright Flying Service","0","Burbank, CA",NA,NA,"O1",1
"85","21-NOV-1930","Dornier Do R4 Superwal","I-RONY","SANA","6","Cap de Creus...",NA,NA,"A1",1
"86","24-NOV-1930","Ford 5-AT-C Tri-Motor","NX419H","Ford Motor Company","2","Dearborn, MI",NA,NA,"A1",1
"87","20-DEC-1930","Ford 4-AT-E Tri-Motor","NC9611","Pittsburgh Airways",NA,"Jennerstown, PA",NA,NA,"A1",1
"88","??-???-1930","Junkers JuG-1W (G.24)","n/a","Soviet AF",NA,"",NA,NA,"A1",1
"89","27-JAN-1931","Ford 5-AT-B Tri-Motor","NC9647","TWA","0","Harrisburg, PA",NA,NA,"A1",1
"90","21-FEB-1931","Ford Tri-Motor","","Panagra","0","Arequipa Air...",NA,NA,"H2",1
"91","01-APR-1931","Ford 5-AT-C Tri-Motor","NC8418","Panagra","0","Ovalle Airpo...",NA,NA,"A1",1
"92","17-APR-1931","Ford 5-AT-C Tri-Motor","CV-FAI","Private","0","Mohania, Bihar",NA,NA,"A1",1
"93","18-APR-1931","Junkers F.24ko (G.24)","D-896","Deutsche Lufthansa","0","Gex (Ain)",NA,NA,"A2",1
"94","19-APR-1931","de Havilland DH.66 Hercules","G-EBMW","Imperial Airways","0","Kupang",NA,NA,"A1",1
"95","22-APR-1931","Armstrong Whitworth Argosy II","G-AACH","Imperial Airways","0","London-Croyd...",NA,NA,"A1",1
"96","29-APR-1931","Ford 5-AT-C Tri-Motor","NC421H","National Air Transport","0","Elyria, OH",NA,NA,"A1",1
"97","11-JUN-1931","Junkers G.24","SE-AAG","AB Aerotransport","0","Malmö-Bullto...",NA,NA,"O1",1
"98","16-JUN-1931","Armstrong Whitworth Argosy IA","G-EBLO","Imperial Airways","0","Aswan",NA,NA,"A1",1
"99","04-AUG-1931","Fokker F.IX","PH-AFK","KLM","0","Rotterdam-Wa...",NA,NA,"A1",1
"100","09-AUG-1931","Ford 5-AT-B Tri-Motor","NC9662","American Airways","6","Cincinnati, OH",NA,NA,"A1",1
"101","19-AUG-1931","Ford 5-AT-B Tri-Motor","NC9554","TWA","0","Pittsburgh, PA",NA,NA,"A1",1
"102","19-SEP-1931","Ford XB-906 (Tri-Motor)","NX9652","Ford Motor Company","2","Dearborn, MI",NA,NA,"A1",1
"103","27-OCT-1931","Ford 5-AT-C Tri-Motor","NC427H","National Air Transport","0","Ashley, IN",NA,NA,"A1",1
"104","19-DEC-1931","Ford 4-AT-E Tri-Motor","NC7119","TWA","1","Oklahoma Cit...",NA,NA,"A1",1
"105","15-MAR-1932","Ford 4-AT-B Tri-Motor","NC4805","Skyway","0","Blackwell Ai...",NA,NA,"O1",1
"106","27-JUN-1932","Junkers PS-5 (G.24)","CCCP-L718","Dobrolet",NA,"Nizhnetambovsk",NA,NA,"A1",1
"107","10-JUL-1932","Boeing 80","","Boeing Air Transport","0","Stirling, IL",NA,NA,"A1",1
"108","16-JUL-1932","Ford 5-AT-C Tri-Motor","NC403H","Panagra","9","Vitacura",NA,NA,"A1",1
"109","29-JUL-1932","Junkers Ju-52/3mce","D-2201","Deutsche Lufthansa","0","Schleissheim...",NA,NA,"A2",1
"110","31-AUG-1932","Junkers G.24","SE-AAE","AB Aerotransport","2","Tubbergen",NA,NA,"A1",1
"111","02-OCT-1932","Ford 5-AT-B Tri-Motor","NC9664","Pan Am","0","El Aceituno,...",NA,NA,"A1",1
"112","26-OCT-1932","Ford 5-AT-D Tri-Motor","n/a","LAB","2","Villamontes,...",NA,NA,"A1",1
"113","14-DEC-1932","Ford 5-AT-B Tri-Motor","NC9650","TWA","2","Amarillo-Eng...",NA,NA,"A1",1
"114","14-JAN-1933","Curtiss Condor 18","NC185H","Eastern Air Transport","2","Newark, NJ",NA,NA,"A1",1
"115","24-JAN-1933","Ford 5-AT-D Tri-Motor","NC431H","Pacific Air Transport","2","Eugene, OR",NA,NA,"A1",1
"116","10-FEB-1933","Ford 5-AT-B Tri-Motor","NC9666","TWA","0","Bakersfield, CA",NA,NA,"A1",1
"117","21-MAR-1933","Ford JR-3 (5-AT-C) Tri-Motor","A8599","USMC","","Virginia Bea...",NA,NA,"A1",1
"118","28-MAR-1933","Armstrong Whitworth Argosy II","G-AACI","Imperial Airways","15","Diksmuide",NA,NA,"A1",1
"119","31-MAR-1933","Ford 4-AT-B Tri-Motor","NC7686","Private","7","Neodesha, KS",NA,NA,"A1",1
"120","27-MAY-1933","Junkers Ju-52/1mcai","D-2356","RDL","","Zechliner Hütte",NA,NA,"A1",1
"121","02-JUN-1933","Ford 4-AT-E Tri-Motor","NR9614","Plane Speaker Corporation","0","Hempstead-Ro...",NA,NA,"O1",1
"122","11-AUG-1933","Dornier Do R4 Superwal","I-RATA","SANA","0","Valencia",NA,NA,"A1",1
"123","13-AUG-1933","Junkers PS-5 (G.24)","CCCP-L743","Dobrolet","","",NA,NA,"U1",1
"124","29-AUG-1933","Ford 5-AT-B Tri-Motor","NC9607","TWA","5","Quay, NM",NA,NA,"A1",1
"125","21-SEP-1933","Curtiss T-32 Condor II","NC12373","Eastern Air Transport","","Newark, NJ",NA,NA,"A1",1
"126","18-OCT-1933","Ford 4-AT-B Tri-Motor","NC4806","Private","3","Managua",NA,NA,"A1",1
"127","21-NOV-1933","Kalinin K-7","","Kalinin Design Bureau","14+ 1","Kharkov",NA,NA,"A1",1
"128","15-JAN-1934","Dewoitine D.332","F-AMMY","Air France","10","Corbigny",NA,NA,"A1",1
"129","05-MAR-1934","Ford 4-AT-B Tri-Motor","NC7120","Morgan Air Lines","1","Toncontín",NA,NA,"A1",1
"130","10-MAR-1934","Junkers F.24k2ay (G.24)","D-1019","Deutsche Lufthansa",NA,"Gliwice",NA,NA,"A1",1
"131","22-MAR-1934","Ford 5-AT-C Tri-Motor","NC407H","Panagra","3","Lima Airport...",NA,NA,"A1",1
"132","09-JUN-1934","Curtiss T-32 Condor II","NC12354","American Airways","7","Mongaup Moun...",NA,NA,"A1",1
"133","11-JUN-1934","Ford C-4A (5-AT-D) Tri-Motor","31-403","USAAC","0","Camp Skeel, ...",NA,NA,"A1",1
"134","11-JUN-1934","Ford 5-AT-C Tri-Motor","NC8417","Panagra","5","Junin",NA,NA,"A1",1
"135","23-JUN-1934","Ford 4-AT-B Tri-Motor","NC7685","Mulzer Flying Service","0","Columbus, OH",NA,NA,"O1",1
"136","01-JUL-1934","Ford 4-AT-D Tri-Motor","NC7586","Private","0","Lima, OH",NA,NA,"A1",1
"137","27-JUL-1934","Curtiss AT-32C Condor II","CH-170","Swissair","12","Wurmlingen/T...",NA,NA,"A1",1
"138","23-AUG-1934","Junkers PS-5 (G.24)","CCCP-L742","Dobrolet",NA,"",NA,NA,"A1",1
"139","02-SEP-1934","Ford 5-AT-D Tri-Motor","NC9655","Hanford's Tri-State Airlines","0","Cochrane, WI",NA,NA,"A1",1
"140","22-SEP-1934","Handley Page W.10","G-EBMM","National Aviation Displays","4","Aston Clinto...",NA,NA,"A1",1
"141","19-OCT-1934","de Havilland DH.86 Express","VH-URN","Holyman's Airways","11","Wilsons Prom...",NA,NA,"A1",1
"142","26-OCT-1934","Ford 4-AT-E Tri-Motor","NC8403","Ptarmigan Airlines","0","Flat Airport...",NA,NA,"A1",1
"143","29-OCT-1934","Ford 4-AT-.  Tri-Motor","","TACA de Honduras","0","La Ceiba Air...",NA,NA,"O1",1
"144","06-NOV-1934","Junkers Ju-52/3mge","D-AVAN","Deutsche Reichsbahn-Gesellschaft","5","Gross-Rackit...",NA,NA,"A1",1
"145","15-NOV-1934","de Havilland DH.86 Express","VH-USG","Qantas","4","Ilfracombe, QLD",NA,NA,"A1",1
"146","10-DEC-1934","Ford 4-AT-E Tri-Motor","NM-7","Cubana","4","Palma Soriano",NA,NA,"A1",1
"147","19-DEC-1934","Curtiss AT-32B Condor II","NC12395","American Airways",NA,"Buffalo, NY",NA,NA,"A1",1
"148","20-DEC-1934","Douglas DC-2-115A","PH-AJU","KLM","7","Rutbah Wells",NA,NA,"A1",1
"149","28-DEC-1934","Curtiss T-32C Condor II","NC12363","American Airways","0","Wilmurt, NY",NA,NA,"A1",1
"150","??-???-1934","Ford 4-AT-B Tri-Motor","NC9609","Private","0","Boca Chica, ...",NA,NA,"O1",1
"151","23-JAN-1935","Curtiss T-32 Condor II","NC12376","Eastern Air Transport","","Atlanta, GA",NA,NA,"A1",1
"152","31-JAN-1935","Junkers Ju-52/3mge","D-AREN","Deruluft","11","Szczecin",NA,NA,"A1",1
"153","16-APR-1935","Consolidated 16 Commodore","NC660M","Pan Am","0","Miami, FL",NA,NA,"O1",1
"154","25-APR-1935","Junkers Ju-52/3mho","D-AJYR","Deutsche Lufthansa","3","Hallgarten",NA,NA,"A1",1
"155","28-APR-1935","Ford 4-AT-B Tri-Motor","NC7863","Private","0","Gadsden, AL",NA,NA,"A1",1
"156","06-MAY-1935","Douglas DC-2-112","NC13785","TWA","5","Atlanta, MO",NA,NA,"A1",1
"157","07-MAY-1935","Ford 4-AT-.  Tri-Motor","","private","1","Lake Izabal",NA,NA,"A1",1
"158","18-MAY-1935","Tupolev ANT-20 Maxim Gorky","CCCP-I20","Tupolev","35+ 9","Moscow",NA,NA,"A1",1
"159","18-MAY-1935","Ford 4-AT-E Tri-Motor","NC7864","Knowles Flying Service","3","Flint-Bishop...",NA,NA,"A1",1
"160","22-JUN-1935","Savoia-Marchetti S-66","I-NAVE","Ala Littoria","0","Marsaxlokk Bay",NA,NA,"A1",1
"161","24-JUN-1935","Ford 5-AT-B Tri-Motor","F-31","SACO","10","Medellín-Enr...",NA,NA,"A1",1
"162","24-JUN-1935","Ford 5-AT-D Tri-Motor","C-31","SCADTA","7","Medellín-Enr...",NA,NA,"A1",1
"163","09-JUL-1935","Savoia-Marchetti S-66","I-REDI","Ala Littoria","0","Mahón, Menorca",NA,NA,"A1",1
"164","14-JUL-1935","Fokker F.XXII","PH-AJQ","KLM","6","Amsterdam-Sc...",NA,NA,"A1",1
"165","17-JUL-1935","Douglas DC-2-115E","PH-AKM","KLM","0","Bushehr (Bus...",NA,NA,"A1",1
"166","20-JUL-1935","Douglas DC-2-115E","PH-AKG","KLM","13","Pian San Gia...",NA,NA,"A1",1
"167","27-JUL-1935","Curtiss AT-32B Condor II","NC12393","American Airways","0","Murfreesboro...",NA,NA,"A1",1
"168","03-AUG-1935","Douglas DC-2-112","NC13722","TWA","0","Albuquerque, NM",NA,NA,"A1",1
"169","02-OCT-1935","de Havilland DH.86 Express","VH-URT","Holyman's Airways","5","Flinders Isl...",NA,NA,"A1",1
"170","06-OCT-1935","Douglas DC-2A-127","NC14285","Standard Oil Company","3","Great Salt L...",NA,NA,"A1",1
"171","21-OCT-1935","Curtiss Condor 18","NC725K","Chamberlin Flying Service","1","Troy, NY",NA,NA,"A1",1
"172","22-OCT-1935","de Havilland DH.86 Express","G-ADCM","Imperial Airways","0","Zwettl",NA,NA,"A1",1
"173","24-OCT-1935","Ford 5-AT-C Tri-Motor","n/a","Private","0","Hankow",NA,NA,"C1",1
"174","07-NOV-1935","Savoia-Marchetti S.73P","OO-AGM","Sabena","0","London-Croyd...",NA,NA,"A1",1
"175","09-NOV-1935","Ford 5-AT-.  Tri-Motor","","TACA de Honduras","0","Jutiapa",NA,NA,"A1",1
"176","09-NOV-1935","Short S.17 Kent","G-ABFB","Imperial Airways","0","Brindisi",NA,NA,"O1",1
"177","23-NOV-1935","de Havilland DH.66 Hercules","G-ABCP","Imperial Airways","","Lake Salisbury",NA,NA,"A1",1
"178","??-NOV-1935","Junkers G.24","PP-CAS","Syndicato Condor","","Ilhéus, BA",NA,NA,"A1",1
"179","10-DEC-1935","Savoia-Marchetti S.73","OO-AGN","Sabena","11","Tatsfield",NA,NA,"A1",1
"180","10-DEC-1935","Potez 62","F-ANPH","Air France","0","Auxerre",NA,NA,"A1",1
"181","24-DEC-1935","Ford 5-AT-D Tri-Motor","NC433H","Panagra","2+ 2","Lima",NA,NA,"A1",1
"182","31-DEC-1935","Short S.8 Calcutta","G-AASJ","Imperial Airways","12","Alexandria",NA,NA,"A1",1
"183","??-???-1935","Junkers F.24ko (G.24)","D-ULET","Deutsche Lufthansa","","",NA,NA,"A1",1
"184","14-JAN-1936","Douglas DC-2-120","NC14274","American Airlines","17","Goodwin, AR",NA,NA,"A1",1
"185","14-JAN-1936","Junkers Ju-52/3m","624","Colombian AF","13","Tres Esquina...",NA,NA,"A1",1
"186","17-JAN-1936","Junkers Ju-52/3mce","unreg.","LAB","13","Cochabamba",NA,NA,"A1",1
"187","28-FEB-1936","Douglas DC-2-115B","HB-ITI","Swissair","0","Zürich-Düben...",NA,NA,"A1",1
"188","05-MAR-1936","Ford 5-AT-D Tri-Motor","27","CNAC","0","Zigong",NA,NA,"A1",1
"189","16-MAR-1936","Junkers Ju-52/3m","OE-LAL","ÖLAG","0","Saualpe",NA,NA,"A1",1
"190","26-MAR-1936","Ford 5-AT-B Tri-Motor","X-ABCO","Mexicana","14","Amecameca de...",NA,NA,"A1",1
"191","31-MAR-1936","Ford 5-AT-D Tri-Motor","25","CNAC","0","Nanking Airp...",NA,NA,"A1",1
"192","07-APR-1936","Douglas DC-2-112","NC13721","TWA","12","Fairchance, PA",NA,NA,"A1",1
"193","11-APR-1936","Sikorsky S-42","NC822M","Pan Am","3","Port of Spain",NA,NA,"A2",1
"194","17-APR-1936","Junkers Ju-52/3m","D-ASOR","Deutsche Lufthansa","3","Orvin (Ilfin...",NA,NA,"A1",1
"195","20-APR-1936","Douglas DC-2-115K","OK-AIA","CLS","0","Elburg",NA,NA,"A1",1
"196","08-MAY-1936","Lioré-et-Olivier H.242/1","F-ANQG","Air France","0","Algerian coast",NA,NA,"A1",1
"197","31-MAY-1936","Douglas DC-2-172","NC14979","TWA","0","Chicago Muni...",NA,NA,"A1",1
"198","??-MAY-1936","Junkers G.31fo","D-ABIL","Reichsluftfahrt-Ministerium",NA,"",NA,NA,"A1",1
"199","09-JUN-1936","Fokker F.XXII","SE-ABA","AB Aerotransport","2","Malmö-Bullto...",NA,NA,"A1",1
"200","16-JUN-1936","Junkers Ju-52/3m","LN-DAE","DNL","7","Mount Lihest...",NA,NA,"A1",1
"201","09-JUL-1936","Curtiss Condor 18","NC728K","Chamberlin Flying Service","0","Terre Haute-...",NA,NA,"O1",1
"202","22-JUL-1936","Douglas C-33 (DC-2)","unknown","USAAC",NA,"Dunreith, IN",NA,NA,"A1",1
"203","26-JUL-1936","Junkers G.38di","D-AZUR","Deutsche Lufthansa","0","Dessau",NA,NA,"A1",1
"204","29-JUL-1936","Curtiss T-32C Condor II","2","LAN Chile","0","Copiapó Airp...",NA,NA,"A1",1
"205","08-AUG-1936","Ford 4-AT-B Tri-Motor","NC5811","Private","0","Hundred, WV",NA,NA,"A1",1
"206","12-AUG-1936","de Havilland DH.86 Express","G-ADEB","British Airways","2","Altenkirchen",NA,NA,"A1",1
"207","13-AUG-1936","Curtiss AT-32A Condor II","NC12392","American Airlines",NA,"Glendale, CA",NA,NA,"U1",1
"208","22-AUG-1936","Short S.17 Kent","G-ABFA","Imperial Airways","2","Mirabella Ba...",NA,NA,"A1",1
"209","15-SEP-1936","de Havilland DH.86A Express","G-ADYF","British Airways","3","London-Gatwi...",NA,NA,"A1",1
"210","19-SEP-1936","Junkers Ju-52/3mfe","D-AJUX","Deutsche Lufthansa",NA,"Frankfurt",NA,NA,"A1",1
"211","24-SEP-1936","CANT Z.506","I-RODI","Ala Littoria","9","Benghazi",NA,NA,"A1",1
"212","29-SEP-1936","Armstrong Whitworth AW.15 Atalanta","G-ABTK","Imperial Airways","0","Delhi",NA,NA,"O1",1
"213","10-OCT-1936","Douglas DC-2-118B","NC14273","Panagra","3","San José Pinula",NA,NA,"A1",1
"214","01-NOV-1936","Junkers Ju-52/3mge","D-APOO","Deutsche Lufthansa","11","Tabarz",NA,NA,"A1",1
"215","04-NOV-1936","Junkers Ju-52/3mge","22-74","HISMA",NA,"Madrid",NA,NA,"C1",1
"216","17-NOV-1936","Junkers Ju-52/3mge","D-ASUI","Deutsche Lufthansa","4","Lauf an der ...",NA,NA,"A1",1
"217","28-NOV-1936","Junkers Ju-52/3m","D-ATAK","Deutsche Lufthansa",NA,"Hannover",NA,NA,"A1",1
"218","04-DEC-1936","Junkers Ju-52/3m","D-ASIH","Deutsche Lufthansa","6","Le Grand-Bor...",NA,NA,"A1",1
"219","09-DEC-1936","Douglas DC-2-115E","PH-AKL","KLM","15","London-Croyd...",NA,NA,"A1",1
"220","19-DEC-1936","Douglas DC-2-112","NC13732","North American Aviation, op.for Eastern Air Lines","0","Milford, PA",NA,NA,"A1",1
"221","25-DEC-1936","Douglas DC-2-118A","28","CNAC",NA,"Chengtu",NA,NA,"A1",1
"222","28-DEC-1936","Short S.8 Calcutta","G-EBVG","Imperial Airways","0","Mirabellou G...",NA,NA,"O1",1
"223","28-DEC-1936","Douglas DC-2-118B","24","CNAC",NA,"Nanking Airp...",NA,NA,"A2",1
"224","??-???-1936","Curtiss BT-32C Condor II","OB-11D","Cóndor Peruana de Aviación",NA,"Pias",NA,NA,"A1",1
"225","20-JAN-1937","Ford 5-AT-C Tri-Motor","NC422H","DePonti Aviation Company","0","Sioux City, IA",NA,NA,"O1",1
"226","26-JAN-1937","Sabca Savoia-Marchetti S.73P","OO-AGR","Sabena","12","Oran-es Seni...",NA,NA,"A1",1
"227","09-FEB-1937","Douglas DC-3A-197","NC16073","United Airlines","11","San Francisc...",NA,NA,"A1",1
"228","18-FEB-1937","Douglas DC-2-112","NC13734","Eastern Air Lines",NA,"Atlanta, GA",NA,NA,"A1",1
