"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"16076","23-JAN-1993","unknown","","Korean Air","0","Gwangju (Kwa...",NA,NA,"H2",1
"16077","23-JAN-1993","BN-2A-20 Islander","P2-ISF","Island Airways","0","Bambu Airpor...",NA,NA,"A1",1
"16078","23-JAN-1993","Ilyushin Il-76MD Adnan-1","","Iraqi AF","0","Al Taqaddum ...",NA,NA,"C1",1
"16079","25-JAN-1993","Fairchild FH-227B","PT-LCS","TABA","3","Altamira Air...",NA,NA,"A1",1
"16080","27-JAN-1993","Nord 262A-44","9Q-CJK","Trans Service Airlift","3+ 6","Kinshasa-N'D...",NA,NA,"A1",1
"16081","30-JAN-1993","Antonov An-2R","CCCP-40479","Aeroflot / Yakutsk","","",NA,NA,"A1",1
"16082","31-JAN-1993","Boeing 707-387B","LV-ISA","LADE","0","Recife-Guara...",NA,NA,"A1",1
"16083","31-JAN-1993","Shorts SC.7 Skyvan 3-100","9M-PID","Pan Malaysian Air Transport","14","Northern Sum...",NA,NA,"A1",1
"16084","03-FEB-1993","Antonov An-24B","47180","Yakutavia","0","Ust-Kuiga",NA,NA,"A1",1
"16085","03-FEB-1993","Lockheed L-100-20 Hercules","N130X","Lockheed","7","Marietta-Dob...",NA,NA,"A1",1
"16086","08-FEB-1993","Tupolev Tu-154M","EP-ITD","Iran Air Tours","131","Tehran-Mehra...",NA,NA,"A1",1
"16087","09-FEB-1993","Antonov An-32","","UN","","Nairobi Nati...",NA,NA,"U1",1
"16088","11-FEB-1993","Airbus A310-304","D-AIDM","Lufthansa","0","New York-Joh...",NA,NA,"H2",1
"16089","17-FEB-1993","Dassault Falcon 10","N85JM","ConAero Inc.","0","Aurillac Air...",NA,NA,"A1",1
"16090","17-FEB-1993","Beech 200 Super King Air","10011","Turkish AF","5+ 1","Guvercinlik",NA,NA,"A1",1
"16091","18-FEB-1993","Douglas DC-7CF","HI-599CT","Aerochago Airlines","0","Santo Doming...",NA,NA,"A1",1
"16092","18-FEB-1993","Douglas DC-3","","Missionary Flights","0","Miami Intern...",NA,NA,"H2",1
"16093","20-FEB-1993","Convair CV-440-11","HP-1200CTH","Cargo Three Panama","2","Bogotá-Eldor...",NA,NA,"A1",1
"16094","20-FEB-1993","Tupolev Tu-134","","Aeroflot","0","Stockholm-Ar...",NA,NA,"H2",1
"16095","25-FEB-1993","ATR 72-202","","LOT","0","Rzeszów-Jasi...",NA,NA,"H2",1
"16096","26-FEB-1993","Learjet 31","PT-OFK","Líder Táxi Aéreo","0","Rio de Janei...",NA,NA,"A2",1
"16097","28-FEB-1993","Dornier 228-201","B-12238","Formosa Airlines","6","Orchid Island",NA,NA,"A1",1
"16098","02-MAR-1993","Douglas C-47A (DC-3)","EC-FAH","ARM, op.for Tadair","2","Palma de Mal...",NA,NA,"A1",1
"16099","05-MAR-1993","Fokker 100","PH-KXL","Palair Macedonian","83","Skopje Airpo...",NA,NA,"A1",1
"16100","06-MAR-1993","DHC-6 Twin Otter 100","C-FQBT","Kenn Borek Air","0","Baffin Islan...",NA,NA,"A1",1
"16101","08-MAR-1993","Douglas DC-6","CP-1654","CAN","0","Santa Rosa A...",NA,NA,"A1",1
"16102","11-MAR-1993","DC-9-31","N978Z","TWA","0","Saint Louis-...",NA,NA,"A2",1
"16103","12-MAR-1993","ATR 42-320","","Ethiopian Airlines","2","Dire Dawa Ai...",NA,NA,"H2",1
"16104","17-MAR-1993","Transall C-160NG","F-227","French AF","0","Evreux Air B...",NA,NA,"O1",1
"16105","19-MAR-1993","Beech 200 Super King Air","LN-TSA","West Aviation","3","Geilo-Dagali...",NA,NA,"A1",1
"16106","23-MAR-1993","Fokker F-27 Friendship 300","ST-AWA","Air West Express","0","Hareto",NA,NA,"A1",1
"16107","23-MAR-1993","Embraer EMB-110C Bandeirante","PP-SBJ","Oeste Linhas Aéreas","6","Cuiabá, MT",NA,NA,"A1",1
"16108","24-MAR-1993","Douglas DC-7C","HR-ALY","Aero Servicios","0","Miami Intern...",NA,NA,"O1",1
"16109","27-MAR-1993","Airbus A320-231","","Indian Airlines","0","Amritsar-Raj...",NA,NA,"H2",1
"16110","30-MAR-1993","Boeing 737-3Z6","33-333","Thai AF","6","Muang Khon Kaen",NA,NA,"A1",1
"16111","31-MAR-1993","Boeing 747-121","N473EV","JAL, lsf Evergreen International","0","Anchorage In...",NA,NA,"A2",1
"16112","02-APR-1993","DC-9-15","YV-03C","LAV","11","Isla de la M...",NA,NA,"A1",1
"16113","06-APR-1993","Boeing 757-21B","","China Southern","0","Taipei",NA,NA,"H2",1
"16114","06-APR-1993","Boeing 767-2S1ER","N767TA","TACA","0","Guatemala Ci...",NA,NA,"A1",1
"16115","06-APR-1993","MD-11","B-2171","China Eastern","2","Shemya, AK",NA,NA,"A2",1
"16116","06-APR-1993","Antonov An-24RV","YL-LCH","Latavio","0","Stepanavan",NA,NA,"A1",1
